date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:13	68011/68011	------	200	untouched ('')	image/jpeg	etag:%225c41df673eff0536e43d63fbd2a6449a%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-left-sidebar.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-left-sidebar.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	243/243	------	403	error ('Forbidden')	application/xml	date:Thu,%2012%20Sep%202019%2008:28:11%20GMT	https://demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.eot?	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/fonts/glyphicons-halflings-regular.4ad41d.delayed	(from https://demo.hasthemes.com/boighor-preview/p2/css/bootstrap.min.css)
15:49:13	62760/62760	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:07%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/shop-right-sidebar.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/shop-right-sidebar.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	65987/65987	------	200	untouched ('')	image/jpeg	etag:%22a22c787b6408177d01a453b61c519c2d%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-right-sidebar.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-right-sidebar.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	59236/59236	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:07%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/shop-no-sidebar.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/shop-no-sidebar.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	71408/71408	------	200	untouched ('')	image/jpeg	etag:%22ef4d57f0fef42b9d30f4b2fd37714293%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-no-sidebar.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-no-sidebar.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	62802/62802	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:07%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/shop-list.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/shop-list.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	41561/41561	------	200	untouched ('')	image/jpeg	etag:%2265a25a096599c2fb0f52270f13caaad9%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-list.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-list.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	62937/62937	------	200	untouched ('OK')	text/html	date:Thu,%2027%20Jun%202019%2004:49:07%20GMT	https://demo.hasthemes.com/boighor-preview/boighor-v3/single-product.html	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/boighor-v3/single-product.html	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
15:49:13	48036/48036	------	200	untouched ('')	image/jpeg	etag:%22f623f96d4a0b1d18aaa08a6cf3d5c8b0%22	https://demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-single.jpg	D:/00_HK1_3/LTW/Teamplate/book5/demo.hasthemes.com/boighor-preview/p2/img/boighor-v3/shop-single.jpg	(from https://demo.hasthemes.com/boighor-preview/boighor-v3-html-tf.html?fbclid=IwAR13bdq9ngHbCX7YVpR_Z16YDhjByDeA1OtYX2lF3LQFLlBKa6xMMw1x2w8)
